time,pos1,vel1,tau1,pos2,vel2,tau2
4.650523853302001953e+01,-1.051537346456091981e+00,-1.686813186813186149e+00,-6.875711199159055376e+00,-3.480964370183876611e-01,-1.500000000000000000e+00,-2.955300267400769787e+00
4.650857234001159668e+01,-1.055733577477683482e+00,-1.401098901098901450e+00,-7.035109583699680869e+00,-3.530556191348139805e-01,-1.467032967032967150e+00,-3.021437958040507965e+00
4.651190614700317383e+01,-1.060311284046692393e+00,-1.148351648351649601e+00,-6.980895594275734695e+00,-3.576333257038228908e-01,-1.269230769230770051e+00,-3.095334198660818714e+00
4.651523995399475098e+01,-1.064126039520866485e+00,-1.049450549450551051e+00,-7.147950141150998249e+00,-3.618295567254143918e-01,-1.335164835164835750e+00,-3.176988251086296344e+00
4.651857376098632812e+01,-1.068322270542457986e+00,-1.115384615384616751e+00,-7.101389884987547418e+00,-3.664072632944233021e-01,-1.368131868131868600e+00,-3.113809155918833671e+00
4.652190756797790527e+01,-1.072518501564049487e+00,-1.302197802197802901e+00,-7.123505514103200653e+00,-3.709849698634322124e-01,-1.302197802197802901e+00,-3.119422477057657961e+00
4.652524137496948242e+01,-1.077477683680475806e+00,-1.368131868131868600e+00,-6.993039992768490087e+00,-3.755626764324411226e-01,-1.401098901098901450e+00,-3.125161871076564513e+00
4.652857542037963867e+01,-1.082055390249484716e+00,-1.302197802197802901e+00,-7.076208626823654591e+00,-3.801403830014500329e-01,-1.335164835164835750e+00,-3.131026590859397718e+00
4.653190922737121582e+01,-1.085870145723658808e+00,-1.181318681318682451e+00,-7.243308509048747013e+00,-3.847180895704589432e-01,-1.434065934065934300e+00,-3.137015887075826903e+00
4.653524327278137207e+01,-1.089684901197832900e+00,-1.115384615384616751e+00,-7.273082599439133489e+00,-3.892957961394678534e-01,-1.269230769230770051e+00,-3.143129008181682060e+00
4.653857707977294922e+01,-1.093881132219424401e+00,-1.214285714285715301e+00,-7.226565761681415623e+00,-3.942549782558941729e-01,-1.434065934065934300e+00,-3.073070090941791843e+00
4.654191088676452637e+01,-1.098458838788433312e+00,-1.434065934065934300e+00,-7.172422369058542024e+00,-3.988326848249030832e-01,-1.587912087912087600e+00,-3.148094196911955134e+00
4.654524469375610352e+01,-1.103799496452277040e+00,-1.467032967032967150e+00,-7.034356085478704834e+00,-4.041733424887468118e-01,-1.500000000000000000e+00,-3.001984042429768351e+00
4.654857850074768066e+01,-1.108758678568703360e+00,-1.401098901098901450e+00,-7.109916609984902713e+00,-4.087510490577557221e-01,-1.335164835164835750e+00,-3.145916100703219254e+00
4.655191230773925781e+01,-1.113336385137712270e+00,-1.302197802197802901e+00,-7.193105917737532273e+00,-4.137102311741820415e-01,-1.368131868131868600e+00,-3.076341886636056344e+00
4.655524611473083496e+01,-1.117914091706721180e+00,-1.302197802197802901e+00,-7.207627668712368596e+00,-4.182879377431909518e-01,-1.587912087912087600e+00,-3.151847650118822841e+00
