time,pos1,pos2,vel1,vel2,tau1,tau2,meas_pos1,meas_pos2,meas_vel1,meas_vel2
4.450000000000002842e-01,2.587139437826235788e-02,-9.713409484262031102e-02,-9.518912047199832305e-01,1.796544624771240661e+00,0.000000000000000000e+00,-5.564789252951296561e-02,3.067102181722913129e-02,-1.060690639170136784e-01,-9.402456135986332342e-01,2.109900215177462623e+00
4.500000000000002887e-01,2.108714929191200793e-02,-8.809389323835674357e-02,-9.614149309553275957e-01,1.818760684416209417e+00,0.000000000000000000e+00,5.393199717587768283e-03,2.588504744661558610e-02,-9.731151989438854844e-02,-5.548329216028051736e-01,1.563903202312547425e+00
4.550000000000002931e-01,1.623702319340221412e-02,-7.890450228571038727e-02,-9.782375841839762165e-01,1.856208275509421357e+00,0.000000000000000000e+00,-5.694677739681620193e-02,2.101325270797319358e-02,-8.798275566373138512e-02,-9.681172175978780547e-01,1.466439204858889900e+00
4.600000000000002975e-01,1.133354163970617078e-02,-6.959075750159890439e-02,-9.827469783890694366e-01,1.868481144111562742e+00,0.000000000000000000e+00,-2.114418783707339156e-01,1.630162391134365105e-02,-7.899624940171845466e-02,-8.335216274719410290e-01,1.670459302189071460e+00
4.650000000000003020e-01,6.475050488766133892e-03,-6.035431418051696861e-02,-9.602401425269930790e-01,1.825284066943135608e+00,0.000000000000000000e+00,-3.507521963143164778e-02,1.128407495541785925e-02,-6.951243788963330783e-02,-7.354504034438631432e-01,2.148348285097728017e+00
4.700000000000003064e-01,1.664997774607332795e-03,-5.120133416089061446e-02,-9.633785017826168584e-01,1.835110242901421440e+00,0.000000000000000000e+00,-8.916428833062663151e-02,6.533658539462481978e-03,-6.030024087836125674e-02,-1.190668163643593402e+00,1.737682887944160148e+00
4.750000000000003109e-01,-3.133147412303532650e-03,-4.205561500546375897e-02,-9.554768405126009556e-01,1.822378644245895574e+00,0.000000000000000000e+00,-1.392996916730884771e-02,1.687868281824831404e-03,-5.123620296334044366e-02,-1.020957012907964367e+00,1.896577124790095548e+00
4.800000000000003153e-01,-7.915759094441320726e-03,-3.292369644024643188e-02,-9.571653612167181358e-01,1.829590520923652708e+00,0.000000000000000000e+00,-7.467833828456371670e-02,-3.094185980129566214e-03,-4.193704264875547372e-02,-8.928085868476751674e-01,1.675937900305814798e+00
4.850000000000003197e-01,-1.267652705578633035e-02,-2.381765352482615242e-02,-9.467418818883361897e-01,1.812033034726863390e+00,0.000000000000000000e+00,-7.257123173349394607e-03,-7.766293703597503678e-03,-3.303033493365149786e-02,-1.245210607124960234e+00,1.971606237640024295e+00
4.900000000000003242e-01,-1.740612073029034271e-02,-1.475579634548261979e-02,-9.446965841820851306e-01,1.811918020920611383e+00,0.000000000000000000e+00,-6.663463494826496469e-02,-1.269476639036157435e-02,-2.386784284734883022e-02,-1.127782294850690592e+00,1.776922969660370555e+00
4.950000000000003286e-01,-2.209579383476792738e-02,-5.755239817598310770e-03,-9.307798624886690630e-01,1.787524908118929723e+00,0.000000000000000000e+00,-4.372078674809586757e-02,-1.749445408761880760e-02,-1.465246708624126822e-02,-1.191137270312457197e+00,1.995676092062166784e+00
