time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0.635, 0.217187, -0.851428, 0.751825, -3.83866, 0, -0.714509, 0, 0, 0, 0, 0.000956523, 0.0344921, -0.00539031, -0.0103777, 0, -3.9033e-07
0.64, 0.220912, -0.870604, 0.738021, -3.83092, 0, -0.718978, 0, 0, 0, 0, 0.00109076, 0.0329777, -0.00546841, -0.0109001, 0, -4.00615e-07
0.645, 0.224566, -0.889734, 0.723317, -3.82025, 0, -0.722812, 0, 0, 0, 0, 0.00125747, 0.0313429, -0.00554075, -0.0114172, 0, -4.10604e-07
0.65, 0.228144, -0.908803, 0.707726, -3.80663, 0, -0.726008, 0, 0, 0, 0, 0.00145699, 0.0296017, -0.005608, -0.0119278, 0, -4.20299e-07
0.655, 0.231642, -0.927796, 0.691264, -3.79004, 0, -0.728566, 0, 0, 0, 0, 0.00168943, 0.027768, -0.00567089, -0.0124308, 0, -4.29702e-07
0.66, 0.235055, -0.946699, 0.673947, -3.77044, 0, -0.730486, 0, 0, 0, 0, 0.00195471, 0.0258556, -0.0057301, -0.012925, 0, -4.38816e-07
0.665, 0.23838, -0.965496, 0.655799, -3.74783, 0, -0.731772, 0, 0, 0, 0, 0.00225255, 0.0238777, -0.00578631, -0.0134094, 0, -4.47642e-07
0.67, 0.241612, -0.984173, 0.636841, -3.72219, 0, -0.732432, 0, 0, 0, 0, 0.00258251, 0.0218472, -0.00584021, -0.0138831, 0, -4.56185e-07
0.675, 0.244747, -1.00271, 0.617101, -3.69353, 0, -0.732473, 0, 0, 0, 0, 0.00294399, 0.0197763, -0.00589245, -0.0143452, 0, -4.64445e-07
0.68, 0.247782, -1.0211, 0.596608, -3.66184, 0, -0.731906, 0, 0, 0, 0, 0.00333622, 0.0176767, -0.00594366, -0.0147947, 0, -4.72426e-07
0.685, 0.250712, -1.03933, 0.575393, -3.62713, 0, -0.730744, 0, 0, 0, 0, 0.00375832, 0.0155595, -0.00599445, -0.0152309, 0, -4.80131e-07
0.69, 0.253534, -1.05737, 0.553489, -3.58942, 0, -0.729003, 0, 0, 0, 0, 0.00420927, 0.013435, -0.00604542, -0.015653, 0, -4.87562e-07
0.695, 0.256246, -1.07522, 0.53093, -3.54871, 0, -0.726699, 0, 0, 0, 0, 0.00468795, 0.0113127, -0.00609712, -0.0160605, 0, -4.9472e-07
0.7, 0.258842, -1.09285, 0.507755, -3.50503, 0, -0.72385, 0, 0, 0, 0, 0.00519312, 0.00920155, -0.00615008, -0.0164527, 0, -5.01609e-07
0.705, 0.261322, -1.11026, 0.484, -3.4584, 0, -0.720477, 0, 0, 0, 0, 0.00572346, 0.00710965, -0.0062048, -0.0168289, 0, -5.08229e-07
0.71, 0.263681, -1.12743, 0.459707, -3.40885, 0, -0.716601, 0, 0, 0, 0, 0.00627755, 0.00504433, -0.00626175, -0.0171888, 0, -5.14582e-07
0.715, 0.265918, -1.14434, 0.434915, -3.3564, 0, -0.712245, 0, 0, 0, 0, 0.00685387, 0.00301218, -0.00632135, -0.0175318, 0, -5.20669e-07
0.72, 0.268029, -1.16099, 0.409667, -3.30109, 0, -0.707434, 0, 0, 0, 0, 0.00745086, 0.00101907, -0.00638402, -0.0178575, 0, -5.26491e-07
0.725, 0.270014, -1.17735, 0.384004, -3.24295, 0, -0.702193, 0, 0, 0, 0, 0.00806686, -0.00092987, -0.00645012, -0.0181656, 0, -5.32047e-07
0.73, 0.271869, -1.19341, 0.357969, -3.18203, 0, -0.696548, 0, 0, 0, 0, 0.00870014, -0.0028302, -0.00651999, -0.0184558, 0, -5.37337e-07
0.735, 0.273592, -1.20916, 0.331607, -3.11836, 0, -0.690526, 0, 0, 0, 0, 0.00934892, -0.00467813, -0.00659394, -0.0187278, 0, -5.4236e-07
0.74, 0.275184, -1.22459, 0.304959, -3.05198, 0, -0.684156, 0, 0, 0, 0, 0.0100113, -0.00647054, -0.00667223, -0.0189815, 0, -5.47116e-07
0.745, 0.276641, -1.23968, 0.27807, -2.98293, 0, -0.677466, 0, 0, 0, 0, 0.0106855, -0.00820489, -0.00675511, -0.0192165, 0, -5.51601e-07
0.75, 0.277964, -1.25441, 0.250983, -2.91128, 0, -0.670486, 0, 0, 0, 0, 0.0113694, -0.00987919, -0.00684278, -0.0194329, 0, -5.55815e-07
0.755, 0.27915, -1.26878, 0.223739, -2.83705, 0, -0.663244, 0, 0, 0, 0, 0.0120611, -0.011492, -0.00693543, -0.0196304, 0, -5.59753e-07
